,epoch,train_loss,train_acc,doublesum_train,doublesum_eval,doublesum_eval2,taylor_base,taylor_de,taylor_d2_1,taylor_d2_2,taylor_d2_5,taylor_d2_20,taylor_d2_50,taylor_d2_200,taylor_d2e_1,taylor_d2e_2,taylor_d2e_5,taylor_d2e_20,taylor_d2e_50,taylor_d2e_200,test_loss,test_acc
0,1.0,1.0457736577351888,0.7921666666666667,0.8555266857147217,0.8635379672050476,0.8594756126403809,1.2707229852676392,-0.6572332978248596,0.10556598752737045,0.14380048215389252,0.2157910168170929,0.29604560136795044,0.3312343657016754,0.35019800066947937,0.017013972625136375,0.017869040369987488,0.009589356370270252,0.0036104728933423758,0.0012290689628571272,9.006993059301749e-05,0.18326420652866363,0.9628
1,2.0,0.7706120379447937,0.8577166666666667,0.7695335149765015,0.778712809085846,0.7767332792282104,1.2519034147262573,-0.6955083608627319,0.099186472594738,0.15098629891872406,0.23407740890979767,0.34069421887397766,0.4049281179904938,0.4429929852485657,0.021281031891703606,0.02345268614590168,0.013778986409306526,0.006783430464565754,0.0025101713836193085,0.00017642717284616083,0.1791144564151764,0.9715
2,3.0,0.7142103329340617,0.86025,0.727310299873352,0.7372834086418152,0.7357326745986938,1.2343024015426636,-0.8681557774543762,0.14832757413387299,0.23338960111141205,0.33914849162101746,0.49728766083717346,0.5897004008293152,0.6534634232521057,0.034071534872055054,0.03711295872926712,0.02165607176721096,0.01038492750376463,0.004221349023282528,0.0002605352783575654,0.15008296113014222,0.9743
3,4.0,0.6809804484367371,0.8632,0.7716516256332397,0.7845351099967957,0.7821259498596191,1.3150712251663208,-0.9609021544456482,0.12840817868709564,0.2028008997440338,0.3623448312282562,0.5202616453170776,0.6277257204055786,0.7081205248832703,0.040267106145620346,0.04302730783820152,0.024246497079730034,0.012145967222750187,0.005368045996874571,0.0002793510793708265,0.15337661588191986,0.9737
4,5.0,0.6605819719314575,0.8644166666666667,0.64284348487854,0.6516077518463135,0.6537562012672424,1.3041667938232422,-1.0869985818862915,0.2150515764951706,0.26882922649383545,0.3944418728351593,0.5493788123130798,0.6584944128990173,0.7267751693725586,0.041050173342227936,0.04175186902284622,0.02254496142268181,0.011485086753964424,0.0046433862298727036,0.0002796707849483937,0.07796989657878876,0.9862
5,10.0,0.6092477509498596,0.8801666666666667,0.5995904207229614,0.6105991005897522,0.6111922860145569,1.387496829032898,-1.315345048904419,0.1767244040966034,0.24357977509498596,0.35767343640327454,0.5132245421409607,0.6329018473625183,0.7174796462059021,0.04048791155219078,0.04115898162126541,0.022722801193594933,0.012845429591834545,0.005539851728826761,0.000295144971460104,0.07387210103273392,0.9872
6,15.0,0.5915901880264283,0.8871,0.5831255316734314,0.5907195210456848,0.5897864103317261,1.375595211982727,-1.3372496366500854,0.2125083953142166,0.3387714922428131,0.4706597328186035,0.6726250648498535,0.8357284665107727,0.9958902597427368,0.0631820559501648,0.06483939290046692,0.03535333648324013,0.020445426926016808,0.010501700453460217,0.0004133905458729714,0.07591295582056046,0.9888
7,20.0,0.5783546954154968,0.8941166666666667,0.5895007252693176,0.5991520285606384,0.6003840565681458,1.6608351469039917,-1.6280344724655151,0.170071542263031,0.2156921923160553,0.30727049708366394,0.44237837195396423,0.5488909482955933,0.6299511194229126,0.034259021282196045,0.03526945039629936,0.019877290353178978,0.011949215084314346,0.005470736417919397,0.00028612627647817135,0.061414279916882517,0.9888
8,25.0,0.5717863032658895,0.9001,0.5626602172851562,0.5705287456512451,0.5741065740585327,1.5588030815124512,-1.421133279800415,0.1106056496500969,0.18792884051799774,0.30775368213653564,0.47050341963768005,0.5905674695968628,0.7080802917480469,0.04030343517661095,0.04371582716703415,0.02677658200263977,0.015189819037914276,0.00803454965353012,0.000373889779439196,0.049671579349040984,0.9922
9,30.0,0.565385338083903,0.9010333333333334,0.5788444876670837,0.5911628603935242,0.5892664194107056,1.575618028640747,-1.1939148902893066,0.1361846923828125,0.18040138483047485,0.30858540534973145,0.46635887026786804,0.6012632846832275,0.7278631329536438,0.03694799542427063,0.03992495685815811,0.02557409182190895,0.01564711146056652,0.008199747651815414,0.00045253484859131277,0.06268034193515777,0.9918
10,35.0,0.5603956773122152,0.9048666666666667,0.5506454706192017,0.5619401335716248,0.563567042350769,1.6101948022842407,-1.6860274076461792,0.12381483614444733,0.21040110290050507,0.3252931535243988,0.49083659052848816,0.6397590041160583,0.7847447395324707,0.047954004257917404,0.051963578909635544,0.032813847064971924,0.020359745249152184,0.010313027538359165,0.000357083190465346,0.05556716733574867,0.9902
11,40.0,0.5557387347539265,0.9076166666666666,0.5582883358001709,0.5644683837890625,0.56610107421875,1.5816999673843384,-1.0636005401611328,0.13885964453220367,0.17850632965564728,0.2789756655693054,0.4462355077266693,0.5790531039237976,0.6933347582817078,0.033093180507421494,0.037363193929195404,0.02579978108406067,0.015729809179902077,0.007391343358904123,0.0003975863510277122,0.07112577633261681,0.9905
12,45.0,0.5545219890594483,0.90645,0.5435587167739868,0.5538495779037476,0.5531473159790039,1.6000168323516846,-1.3070988655090332,0.117431640625,0.15749309957027435,0.2687865197658539,0.41741758584976196,0.5419318079948425,0.6412105560302734,0.03318104147911072,0.035933297127485275,0.023496072739362717,0.013746725395321846,0.006224644370377064,0.0002629168739076704,0.06298293449282646,0.9895
13,50.0,0.5510662733078003,0.90845,0.5548869967460632,0.5663846135139465,0.566569447517395,1.6904064416885376,-1.3670040369033813,0.12826964259147644,0.18487776815891266,0.29576584696769714,0.44964057207107544,0.5802865028381348,0.6882097721099854,0.04044921323657036,0.04265580698847771,0.02771724760532379,0.01569005660712719,0.007313717156648636,0.00029464103863574564,0.05733847981095314,0.9908
14,55.0,0.5485962155659994,0.9084,0.5445162653923035,0.5584460496902466,0.5554821491241455,1.6494683027267456,-1.5224789381027222,0.09649664163589478,0.17468687891960144,0.26429688930511475,0.4102616012096405,0.5252328515052795,0.623738169670105,0.034268151968717575,0.03652616962790489,0.022499889135360718,0.013103130273520947,0.005998245440423489,0.00022966592223383486,0.04584784266352653,0.9911
15,60.0,0.547797676785787,0.9116333333333333,0.5396732687950134,0.5520371198654175,0.5527658462524414,1.6225874423980713,-1.2499017715454102,0.1729985773563385,0.2104143649339676,0.32477816939353943,0.4783957004547119,0.6112207174301147,0.7127451300621033,0.03754901513457298,0.03871656954288483,0.024032175540924072,0.014517915435135365,0.006271478720009327,0.00029928452568128705,0.050563871645927426,0.9908
16,65.0,0.5458801058133443,0.9128,0.534395158290863,0.5481702089309692,0.5461461544036865,1.6943092346191406,-1.2897151708602905,0.13862769305706024,0.19281522929668427,0.3056701719760895,0.4449537694454193,0.5752512216567993,0.6884329915046692,0.03816859796643257,0.04013482481241226,0.024852335453033447,0.015083076432347298,0.00725214509293437,0.00029757863376289606,0.047854633836448196,0.99
17,70.0,0.5476225708007812,0.91075,0.5473845601081848,0.5568506717681885,0.5592077374458313,1.568079948425293,-1.192475438117981,0.20407970249652863,0.2727016508579254,0.4082864820957184,0.6022180914878845,0.76019686460495,0.9160000681877136,0.04543827101588249,0.04807538911700249,0.0299303587526083,0.01819455809891224,0.009430060163140297,0.00048364768736064434,0.058905617159605024,0.9911
18,75.0,0.5451728710492452,0.9145333333333333,0.5378007888793945,0.547017514705658,0.544788658618927,1.6515804529190063,-1.2653368711471558,0.13382945954799652,0.18531017005443573,0.30634549260139465,0.481461763381958,0.6076735854148865,0.7191857695579529,0.03613067418336868,0.03980020806193352,0.02606734074652195,0.014826551079750061,0.007098792586475611,0.0003473737451713532,0.05256819717288017,0.9919
19,80.0,0.5457626468658447,0.91165,0.5386967062950134,0.5464724898338318,0.5520326495170593,1.7575578689575195,-1.1141724586486816,0.14927001297473907,0.18065081536769867,0.2827756404876709,0.41955146193504333,0.5419079661369324,0.6322645545005798,0.03175092861056328,0.03291834518313408,0.021037632599473,0.012796706520020962,0.0053961570374667645,0.00024981037131510675,0.04198695589452982,0.9923
20,85.0,0.5178972777048747,0.9298166666666666,0.5102851390838623,0.5150227546691895,0.513067364692688,1.7424405813217163,-1.2530323266983032,0.11103399097919464,0.14776067435741425,0.24446888267993927,0.36748406291007996,0.48049798607826233,0.601205050945282,0.03177396580576897,0.03415751829743385,0.02289247326552868,0.01496194303035736,0.00820093508809805,0.00040570381679572165,0.03313947811573744,0.9938
21,90.0,0.514147616481781,0.9321833333333334,0.5060302019119263,0.5118792057037354,0.5091655254364014,1.775940179824829,-1.2655105590820312,0.11868739128112793,0.1473560482263565,0.24111595749855042,0.35790112614631653,0.46824851632118225,0.5861710906028748,0.030875254422426224,0.032571133226156235,0.022001786157488823,0.014571815729141235,0.00806740578263998,0.00046865196782164276,0.032568977075070144,0.9941
22,95.0,0.5139854210853577,0.9315166666666667,0.506324827671051,0.5106780529022217,0.5125440359115601,1.7852299213409424,-1.3109992742538452,0.12167280167341232,0.1513722538948059,0.2630769908428192,0.39435848593711853,0.5129522085189819,0.648038923740387,0.03304852917790413,0.03517209365963936,0.023780157789587975,0.015769165009260178,0.00912771187722683,0.0005188784562051296,0.03083779270425439,0.9941
23,100.0,0.5134046083132426,0.9330333333333334,0.506041944026947,0.5112847685813904,0.5115180611610413,1.8150554895401,-1.2418841123580933,0.11874397099018097,0.14611484110355377,0.25103506445884705,0.37822994589805603,0.49343594908714294,0.62238609790802,0.03220703452825546,0.034785930067300797,0.023269161581993103,0.015888627618551254,0.008805750869214535,0.0004823218041565269,0.03110070879906416,0.9938
